CINUM,SOURCECI,RELATIONNUM,TARGETCI,
WAFVIP-10.190.250.58,WAFVIP-10.190.250.58,PROTECTS,SERVER-10.19.20.103,
WAFVIP-10.190.250.79,WAFVIP-10.190.250.79,PROTECTS,SERVER-10.19.63.18,
WAFVIP-10.190.250.79,WAFVIP-10.190.250.79,PROTECTS,SERVER-10.19.63.18,
WAFVIP-10.190.250.223,WAFVIP-10.190.250.223,PROTECTS,SERVER-10.19.63.21,
WAFVIP-10.190.250.223,WAFVIP-10.190.250.223,PROTECTS,SERVER-10.19.63.21,
WAFVIP-10.190.250.225,WAFVIP-10.190.250.225,PROTECTS,SERVER-10.19.63.21,
WAFVIP-10.190.250.225,WAFVIP-10.190.250.225,PROTECTS,SERVER-10.19.63.21,
WAFVIP-10.190.250.224,WAFVIP-10.190.250.224,PROTECTS,SERVER-10.19.63.21,
WAFVIP-10.190.250.224,WAFVIP-10.190.250.224,PROTECTS,SERVER-10.19.63.21,
WAFVIP-10.190.250.4,WAFVIP-10.190.250.4,PROTECTS,SERVER-10.19.33.164,
WAFVIP-10.190.250.91,WAFVIP-10.190.250.91,PROTECTS,SERVER-10.19.26.50,
WAFVIP-10.190.250.77,WAFVIP-10.190.250.77,PROTECTS,SERVER-10.19.20.69,
WAFVIP-10.190.250.134,WAFVIP-10.190.250.134,PROTECTS,SERVER-10.19.42.67,
WAFVIP-10.190.250.191,WAFVIP-10.190.250.191,PROTECTS,SERVER-10.19.5.17,
WAFVIP-10.190.250.191,WAFVIP-10.190.250.191,PROTECTS,SERVER-10.19.5.17,
WAFVIP-10.190.250.191,WAFVIP-10.190.250.191,PROTECTS,SERVER-10.19.5.17,
WAFVIP-10.190.250.33,WAFVIP-10.190.250.33,PROTECTS,SERVER-10.19.31.68,
WAFVIP-10.190.250.215,WAFVIP-10.190.250.215,PROTECTS,SERVER-10.20.18.2,
WAFVIP-10.190.250.93,WAFVIP-10.190.250.93,PROTECTS,SERVER-10.20.24.195,
WAFVIP-10.190.250.92,WAFVIP-10.190.250.92,PROTECTS,SERVER-10.20.24.194,
WAFVIP-10.190.250.228,WAFVIP-10.190.250.228,PROTECTS,SERVER-10.19.61.202,
WAFVIP-10.190.250.27,WAFVIP-10.190.250.27,PROTECTS,SERVER-10.19.46.165,
WAFVIP-10.94.0.57,WAFVIP-10.94.0.57,PROTECTS,SERVER-10.19.255.60,
WAFVIP-10.94.0.65,WAFVIP-10.94.0.65,PROTECTS,SERVER-10.19.255.185,
WAFVIP-10.94.1.65,WAFVIP-10.94.1.65,PROTECTS,SERVER-10.19.255.185,
WAFVIP-10.94.0.86,WAFVIP-10.94.0.86,PROTECTS,SERVER-10.190.128.133,
WAFVIP-10.94.0.88,WAFVIP-10.94.0.88,PROTECTS,SERVER-10.190.128.133,
WAFVIP-10.94.1.23,WAFVIP-10.94.1.23,PROTECTS,SERVER-10.19.248.87,
WAFVIP-10.94.0.104,WAFVIP-10.94.0.104,PROTECTS,SERVER-10.19.255.217,
WAFVIP-10.94.0.103,WAFVIP-10.94.0.103,PROTECTS,SERVER-10.19.37.215,
WAFVIP-10.94.0.82,WAFVIP-10.94.0.82,PROTECTS,SERVER-10.19.138.194,
WAFVIP-10.94.0.36,WAFVIP-10.94.0.36,PROTECTS,SERVER-10.19.253.200,
WAFVIP-10.94.0.30,WAFVIP-10.94.0.30,PROTECTS,SERVER-10.19.253.200,
WAFVIP-10.94.0.123,WAFVIP-10.94.0.123,PROTECTS,SERVER-10.19.11.52,
WAFVIP-10.94.0.58,WAFVIP-10.94.0.58,PROTECTS,SERVER-10.19.249.232,
WAFVIP-10.94.1.58,WAFVIP-10.94.1.58,PROTECTS,SERVER-10.19.249.232,
WAFVIP-10.94.0.99,WAFVIP-10.94.0.99,PROTECTS,SERVER-10.19.251.100,
WAFVIP-10.94.0.99,WAFVIP-10.94.0.99,PROTECTS,SERVER-10.19.251.100,
WAFVIP-10.94.0.98,WAFVIP-10.94.0.98,PROTECTS,SERVER-10.19.255.100,
WAFVIP-10.94.0.206,WAFVIP-10.94.0.206,PROTECTS,SERVER-10.19.247.5,
WAFVIP-10.94.0.185,WAFVIP-10.94.0.185,PROTECTS,SERVER-10.19.187.136,
WAFVIP-10.94.0.49,WAFVIP-10.94.0.49,PROTECTS,SERVER-10.19.247.180,
WAFVIP-10.94.0.120,WAFVIP-10.94.0.120,PROTECTS,SERVER-10.19.250.10,
WAFVIP-10.94.0.115,WAFVIP-10.94.0.115,PROTECTS,SERVER-10.19.65.17,
WAFVIP-10.94.0.41,WAFVIP-10.94.0.41,PROTECTS,SERVER-10.19.247.6,
WAFVIP-10.94.0.77,WAFVIP-10.94.0.77,PROTECTS,SERVER-10.20.129.197,
WAFVIP-10.94.0.76,WAFVIP-10.94.0.76,PROTECTS,SERVER-10.19.38.150,
WAFVIP-10.94.0.69,WAFVIP-10.94.0.69,PROTECTS,SERVER-10.19.255.232,
WAFVIP-10.94.0.34,WAFVIP-10.94.0.34,PROTECTS,SERVER-10.19.253.40,
WAFVIP-10.94.0.32,WAFVIP-10.94.0.32,PROTECTS,SERVER-10.19.251.170,
WAFVIP-10.94.0.205,WAFVIP-10.94.0.205,PROTECTS,SERVER-10.19.248.68,
WAFVIP-10.94.0.204,WAFVIP-10.94.0.204,PROTECTS,SERVER-10.19.248.68,
WAFVIP-10.94.0.60,WAFVIP-10.94.0.60,PROTECTS,SERVER-10.19.248.114,
WAFVIP-10.94.1.60,WAFVIP-10.94.1.60,PROTECTS,SERVER-10.19.248.114,
WAFVIP-10.94.0.26,WAFVIP-10.94.0.26,PROTECTS,SERVER-10.19.249.201,
WAFVIP-10.94.1.26,WAFVIP-10.94.1.26,PROTECTS,SERVER-10.19.249.201,
WAFVIP-10.94.0.25,WAFVIP-10.94.0.25,PROTECTS,SERVER-10.19.192.145,
WAFVIP-10.94.0.71,WAFVIP-10.94.0.71,PROTECTS,SERVER-10.19.192.145,
WAFVIP-10.94.0.68,WAFVIP-10.94.0.68,PROTECTS,SERVER-10.19.251.114,
WAFVIP-10.94.0.20,WAFVIP-10.94.0.20,PROTECTS,SERVER-10.19.250.70,
WAFVIP-10.94.0.20,WAFVIP-10.94.0.20,PROTECTS,SERVER-10.19.250.70,
WAFVIP-10.94.0.113,WAFVIP-10.94.0.113,PROTECTS,SERVER-10.19.187.20,
WAFVIP-10.94.0.202,WAFVIP-10.94.0.202,PROTECTS,SERVER-10.19.186.59,
WAFVIP-10.94.0.87,WAFVIP-10.94.0.87,PROTECTS,SERVER-10.19.253.245,
WAFVIP-10.94.0.75,WAFVIP-10.94.0.75,PROTECTS,SERVER-10.19.139.21,
WAFVIP-10.94.0.93,WAFVIP-10.94.0.93,PROTECTS,SERVER-10.19.255.150,
WAFVIP-10.94.0.74,WAFVIP-10.94.0.74,PROTECTS,SERVER-10.19.139.25,
WAFVIP-10.94.0.97,WAFVIP-10.94.0.97,PROTECTS,SERVER-10.19.255.150,
WAFVIP-10.94.0.97,WAFVIP-10.94.0.97,PROTECTS,SERVER-10.19.255.150,
WAFVIP-10.94.0.79,WAFVIP-10.94.0.79,PROTECTS,SERVER-10.19.255.117,
WAFVIP-10.94.0.73,WAFVIP-10.94.0.73,PROTECTS,SERVER-10.19.255.122,
WAFVIP-10.94.0.72,WAFVIP-10.94.0.72,PROTECTS,SERVER-10.19.255.122,
WAFVIP-10.94.0.96,WAFVIP-10.94.0.96,PROTECTS,SERVER-10.19.255.117,
WAFVIP-10.94.0.95,WAFVIP-10.94.0.95,PROTECTS,SERVER-10.19.255.117,
WAFVIP-10.94.0.9,WAFVIP-10.94.0.9,PROTECTS,SERVER-10.190.128.133,
WAFVIP-10.94.1.9,WAFVIP-10.94.1.9,PROTECTS,SERVER-10.190.128.133,
WAFVIP-10.94.0.5,WAFVIP-10.94.0.5,PROTECTS,SERVER-10.19.247.5,
